year,age,race_ethn,var,pop,m,q,p,lx,d,L,t,e,c,s,se,c_mn,se_tot,c_upr,c_lwr
2004,0,Asian/PI,5652,211877,0.026675854387215224,0.026324736962222234,0.9736752630377777,100000,2632.473696222223,98683.76315188888,1733773.9979926974,17.337739979926972,0,1,0,0,0,0,0
2004,1,Asian/PI,2149,208507,0.0103066084112284,0.010253767627390777,0.9897462323726092,97367.52630377778,998.3839891727985,96868.33430919138,1635090.2348408087,16.79297294397186,0.02632473696222226,0.9736752630377777,8.847415871277694e-4,0.026315540876236488,8.897944830166105e-4,0.028059538062949044,0.024571543689523932
2004,2,Asian/PI,1818,202566,0.008974852640620834,0.008934758569848874,0.9910652414301512,96369.14231460498,861.0350201644032,95938.62480452278,1538221.9005316172,15.961768088689277,0.03630857685395017,0.9636914231460498,8.756696524830724e-4,0.03623938530554005,8.826621767959033e-4,0.03796940317206002,0.03450936743902008
2004,3,Asian/PI,1651,208085,0.00793425763510104,0.007902905789799937,0.9920970942102001,95508.10729444058,754.7915741100587,95130.71150738554,1442283.2757270944,15.101160692889662,0.044918927055594304,0.9550810729444057,8.678457555511926e-4,0.044841868763463744,8.712345340484406e-4,0.046549488450198684,0.0431342490767288
2004,4,Asian/PI,1564,192471,0.008125899486156355,0.008093017960911343,0.9919069820390887,94753.31572033052,766.8402859805501,94369.89557734024,1347152.5642197088,14.21747148348773,0.05246684279669489,0.9475331572033051,8.609872523049939e-4,0.052350315923248215,8.660853354443897e-4,0.054047843180719216,0.050652788665777215
2004,5,Asian/PI,1415,184837,0.007655393671180554,0.00762620287855474,0.9923737971214452,93986.47543434997,716.7599295026448,93628.09546959864,1252782.6686423686,13.329393009502136,0.0601352456565003,0.9398647543434997,8.540192670079738e-4,0.060008917144347064,8.593532164889102e-4,0.061693249448665326,0.0583245848400288
2004,6,Asian/PI,1379,185084,0.0074506710466598946,0.007423017814704465,0.9925769821852956,93269.71550484732,692.3427597648988,92923.54412496487,1159154.57317277,12.427984441665071,0.06730284495152683,0.9326971550484732,8.475063428155764e-4,0.06722693827013815,8.513815662111734e-4,0.06889564613991205,0.06555823040036425
2004,7,Asian/PI,1206,186955,0.006450750180524725,0.006430010983269175,0.9935699890167308,92577.37274508242,595.2735235530854,92279.73598330587,1066231.0290478051,11.517188244083561,0.0742262725491758,0.9257737274508242,8.412152881347814e-4,0.07418794631535346,8.449535566897355e-4,0.07584405528646533,0.07253183734424158
2004,8,Asian/PI,1194,188923,0.006320035146594115,0.006300126635711271,0.9936998733642888,91982.09922152934,579.4988733141945,91692.34978487223,973951.2930644993,10.588487339464157,0.08017900778470666,0.9198209922152933,8.358062645927808e-4,0.08010845384723198,8.392930982796115e-4,0.08175346831986001,0.07846343937460394
2004,9,Asian/PI,1119,187448,0.005969655584482096,0.005951890217145593,0.9940481097828544,91402.60034821514,544.0182428342086,91130.59122679805,882258.9432796269,9.652449054168022,0.08597399651784854,0.9140260034821515,8.305405792829255e-4,0.0859203381782467,8.335663559963119e-4,0.08755412823599946,0.08428654812049392
2004,10,Asian/PI,1121,191349,0.005858405322212293,0.005841294985396763,0.9941587050146032,90858.58210538093,530.7317800324236,90593.21621536472,791128.3520528289,8.7072495929471,0.09141417894619064,0.9085858210538094,8.25597292934149e-4,0.09133175431061372,8.291890375258506e-4,0.09295696482416438,0.08970654379706305
2004,11,Asian/PI,1094,190080,0.005755471380471381,0.005738956181443343,0.9942610438185566,90327.85032534851,518.3875749811414,90068.65653785794,700535.1358374642,7.755472241553772,0.09672149674651487,0.9032785032534851,8.207747356069756e-4,0.09667354481264925,8.239039827735051e-4,0.09828839661888532,0.09505869300641319
2004,12,Asian/PI,1270,191671,0.006625937152725242,0.006604058115711417,0.9933959418842886,89809.46275036737,593.1069113442645,89512.90929469524,610466.4792996062,6.797351421602943,0.10190537249632636,0.8980946275036736,8.160643453644915e-4,0.10183879446836934,8.200246481619671e-4,0.10344604277876679,0.10023154615797189
2004,13,Asian/PI,1585,191835,0.008262308754919592,0.008228316309976507,0.9917716836900234,89216.3558390231,734.100395866888,88849.30564108965,520953.57000491105,5.839215972292008,0.10783644160976891,0.8921635583902311,8.106750090015443e-4,0.10780381853550083,8.152591988731066e-4,0.10940172656529212,0.10620591050570954
2004,14,Asian/PI,1900,194128,0.00978735679551636,0.009739693866043325,0.9902603061339567,88482.25544315622,861.7900805934041,88051.36040285951,432104.26436382136,4.883513221941079,0.11517744556843779,0.8848225544315622,8.040045186028866e-4,0.11512848722913223,8.058866590977902e-4,0.1167080250809639,0.11354894937730056
2004,15,Asian/PI,2111,193789,0.01089329115687681,0.010834280669970157,0.9891657193300298,87620.46536256281,949.3047141714051,87145.8130054771,344052.90396096173,3.9266272158828732,0.12379534637437184,0.8762046536256282,7.961737607247788e-4,0.12377846218293465,7.972420811599218e-4,0.1253410566620081,0.1222158677038612
2004,16,Asian/PI,1982,192256,0.010309171105193075,0.01025630410821384,0.9897436958917861,86671.16064839141,888.9257810217532,86226.69775788052,256907.09095548475,2.9641588855341223,0.1332883935160859,0.8667116064839141,7.875477907390209e-4,0.13326006124248438,7.91254410640232e-4,0.13481091988733923,0.13170920259762953
2004,17,Asian/PI,1277,189743,0.006730156053187733,0.006707584507948514,0.9932924154920515,85782.23486736965,589.3843580900866,85487.54268832461,170680.39319760425,1.9896939437576795,0.14217765132630344,0.8578223486736966,7.794704610974496e-4,0.14221743012410148,7.848859285363454e-4,0.14375580654403272,0.14067905370417025
2004,18,Asian/PI,33,200932,1.6423466645432285e-4,1.642211810488757e-4,0.9998357788189511,85192.85050927957,-0,85192.85050927957,85192.85050927957,1,0.14807149490720428,0.8519285050927957,7.74114950156584e-4,0.14819046410933126,7.794674063611131e-4,0.14971822022579903,0.1466627079928635
2012,0,Asian/PI,4020,227262,0.017688834913007895,0.017533759028577414,0.9824662409714225,100000,1753.3759028577479,99123.31204857113,1800179.1829996854,18.001791829996854,0,1,0,0,0,0,0
