.imp,year,race_ethn,age,var,pop,m,q,p,lx,d,L,t,e,c,s,se,c_mn,se_tot,c_upr,c_lwr
1,2012,AI/AN,17,969,372738,0.002599681277465673,0.002596306492775757,0.9974036935072242,84853.24521289027,224.36491172180104,84741.06275702937,169369.9430581978,1.9960337714045189,0.15146754787109729,0.8485324521289027,5.636266393835067e-4,0.15150997104751865,5.645313424293576e-4,0.1526164524786802,0.1504034896163571
1,2012,AI/AN,18,18,375222,4.7971600812319104e-5,4.797045020267515e-5,0.9999520295497973,84628.88030116846,-0,84628.88030116846,84628.88030116846,1,0.15371119698831537,0.8462888030116846,5.621363246539749e-4,0.15377258741767208,5.636911120424368e-4,0.15487742199727525,0.1526677528380689
1,2004,Asian/PI,0,9588,1773454,0.00540639903826093,0.005391823862588345,0.9946081761374117,100000,539.1823862588353,99730.40880687058,1849293.9374909038,18.49293937490904,0,1,0,0,0,0,0
1,2004,Asian/PI,1,5163,1769467,0.002917827797862294,0.0029135771396776103,0.9970864228603223,99460.81761374116,289.7867644930375,99315.92423149465,1749563.528684033,17.590480056965863,0.005391823862588407,0.9946081761374116,1.645259282529474e-4,0.005397207824389594,1.6477655212284212e-4,0.005720169866550365,0.005074245782228823
1,2004,Asian/PI,2,4863,1772561,0.002743488094344849,0.002739729886182618,0.9972602701138173,99171.03084924813,271.701837061235,99035.17993071751,1650247.6044525385,16.64041999282142,0.008289691507518682,0.9917103084924813,1.6404656926950542e-4,0.008328013830643344,1.655439618434965e-4,0.008652479995856598,0.008003547665430091
1,2004,Asian/PI,3,4785,1786007,0.0026791608319564255,0.0026755766818319956,0.997324423318168,98899.32901218689,264.6127385538275,98767.02264290999,1551212.424521821,15.684761868613615,0.011006709878131127,0.9889932901218689,1.63597125980952e-4,0.01104727045874312,1.65333645981632e-4,0.011371324404867118,0.010723216512619121
1,2004,Asian/PI,4,4619,1770366,0.002609065018193978,0.0026056658423947304,0.9973943341576053,98634.71627363306,257.0091110685171,98506.21171809881,1452445.401878911,14.725498858328214,0.013652837263669393,0.9863471627363306,1.6315940932546265e-4,0.013690196789742214,1.646785234462981e-4,0.014012966695696958,0.01336742688378747
1,2004,Asian/PI,5,4739,1742271,0.002720013132285391,0.002716318920717477,0.9972836810792826,98377.70716256455,267.2252273424674,98244.0945488933,1353939.1901608123,13.762662591063354,0.016222928374354573,0.9837770716256454,1.6273427042571794e-4,0.016254745033741868,1.637248714158713e-4,0.016575645781716976,0.01593384428576676
1,2004,Asian/PI,6,4696,1712770,0.002741757503926388,0.0027380040323756144,0.9972619959676244,98110.48193522208,268.6268951569509,97976.1684876436,1255695.095611919,12.798786336010435,0.018895180647779175,0.9811048193522208,1.6229223224791144e-4,0.01893197870282668,1.6384064015674925e-4,0.019253106357533908,0.018610851048119454
1,2004,Asian/PI,7,4324,1686339,0.0025641344949028635,0.002560851311311039,0.997439148688689,97841.85504006513,250.55844278044242,97716.5758186749,1157718.9271242754,11.832552915622896,0.021581449599348712,0.9784185504006513,1.6184787546159342e-4,0.02161677584316426,1.6416535664267522e-4,0.0219385399421839,0.021295011744144617
1,2004,Asian/PI,8,4201,1648052,0.002549070053614813,0.0025458253100849775,0.997454174689915,97591.29659728469,248.45039292138244,97467.071400824,1060002.3513056005,10.861648407846785,0.024087034027153176,0.9759129659728468,1.6143340711748471e-4,0.024115672749616124,1.62942777184126e-4,0.02443504059289701,0.023796304906335237
1,2004,Asian/PI,9,4001,1635210,0.0024467805358333182,0.0024437908259200636,0.9975562091740799,97342.8462043633,237.88555452317814,97223.90342710172,962535.2799047764,9.88809468221232,0.02657153795636691,0.9734284620436331,1.6102242586375177e-4,0.02658403829684668,1.6251454103372812e-4,0.02690256679727279,0.02626550979642057
1,2004,Asian/PI,10,3831,1678720,0.0022820958825772015,0.0022794948696490108,0.997720505130351,97104.96064984013,221.3502596187609,96994.28552003074,865311.3764776747,8.911093425988627,0.02895039350159878,0.9710496064984012,1.6062892073665853e-4,0.028977233798878465,1.62846322713002e-4,0.02929641259139595,0.02865805500636098
1,2004,Asian/PI,11,3560,1650383,0.0021570750546994243,0.0021547510748031523,0.9978452489251969,96883.61039022137,208.7600636191346,96779.23035841179,768317.0909576439,7.9303102750100605,0.03116389609778636,0.9688361039022136,1.602627679359221e-4,0.031199562702648342,1.625064015861799e-4,0.031518075249757256,0.03088105015553943
1,2004,Asian/PI,12,3704,1655668,0.002237163489298579,0.002234663835127178,0.9977653361648728,96674.85032660223,216.03579179120425,96566.83243070662,671537.8605992321,6.946355317133018,0.03325149673397765,0.9667485032660224,1.5991744156446125e-4,0.03327830020133828,1.6197903488717136e-4,0.03359577910971714,0.03296082129295943
